overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,Total_Frequency,star_signAquarius,star_signAries,star_signCancer,star_signCapricorn,star_signGemini,star_signLeo,star_signLibra,star_signPisces,star_signSagittarius,star_signScopio,star_signTaurus,star_signVirgo
60,61,50,47,46,56,38,54,50,50,66,59,67,63,66,50,66,67,59,77,56,57,71,62,50,55,62,63,64,57,0.5,1,0,0,0,0,0,0,0,0,0,0,0
69,70,36,37,75,55,20,45,30,19,60,56,42,42,43,61,45,57,57,61,82,20,80,71,31,52,35,71,71,66,0.320512821,0,0,0,1,0,0,0,0,0,0,0,0
69,71,42,43,67,65,29,40,52,20,57,56,57,59,58,70,60,39,77,59,67,19,63,75,44,58,32,72,71,80,0.402777778,0,0,1,0,0,0,0,0,0,0,0,0
71,74,62,68,68,73,67,75,80,69,70,77,62,60,63,66,61,68,57,51,63,73,57,45,65,72,64,30,38,25,0.4375,0,0,0,0,0,0,0,0,0,0,1,0
70,76,70,37,55,68,43,61,67,55,70,67,71,71,65,69,67,46,61,70,71,42,68,63,61,60,55,75,75,69,0.325,1,0,0,0,0,0,0,0,0,0,0,0
65,71,18,16,20,21,16,18,19,19,20,21,52,55,59,62,56,34,79,30,53,15,27,24,19,27,22,17,18,18,0,0,0,0,0,1,0,0,0,0,0,0,0
76,79,77,73,56,72,68,83,80,76,70,80,81,80,84,72,76,75,66,64,54,77,55,53,74,76,71,39,43,36,0.373134328,0,1,0,0,0,0,0,0,0,0,0,0
73,78,54,42,54,75,26,56,57,57,69,69,68,67,66,75,70,72,73,77,75,62,78,80,58,74,52,58,76,63,0.320895522,0,0,0,0,0,0,0,0,0,0,1,0
65,68,67,58,47,61,58,68,66,69,68,70,67,62,74,64,81,71,68,49,59,61,45,47,61,65,58,27,34,23,0,0,0,0,0,0,0,0,0,0,1,0,0
73,75,68,66,60,70,70,77,71,69,65,75,84,84,87,73,72,73,82,59,61,68,49,43,70,71,73,22,24,23,0.5,0,0,0,0,0,0,0,0,1,0,0,0
63,67,74,30,57,71,58,66,63,68,54,71,70,70,77,60,73,59,45,69,38,53,50,55,61,74,53,30,37,56,0.25,0,0,0,1,0,0,0,0,0,0,0,0
69,71,64,55,60,74,57,60,58,63,71,73,56,66,66,70,55,71,56,68,72,68,70,68,68,65,56,63,66,57,0.428571429,0,0,0,0,1,0,0,0,0,0,0,0
70,68,40,44,78,41,20,40,30,38,56,50,42,46,45,59,44,58,58,60,85,50,77,63,51,48,38,72,73,55,0.5,0,0,0,0,0,0,0,0,1,0,0,0
72,73,44,76,81,60,77,61,54,58,50,70,53,56,52,70,47,77,70,64,89,58,75,43,79,58,74,31,30,20,0.342105263,0,0,0,0,0,0,0,0,0,0,1,0
68,68,24,20,23,30,12,22,25,32,48,32,67,65,64,68,63,35,82,39,68,22,56,51,52,25,56,23,21,25,0.35,1,0,0,0,0,0,0,0,0,0,0,0
66,71,57,54,58,69,54,60,63,52,67,66,72,72,74,70,67,61,68,78,65,57,65,68,50,68,60,57,62,61,0.5,1,0,0,0,0,0,0,0,0,0,0,0
78,78,74,70,60,77,65,81,75,68,73,81,77,74,79,78,82,80,58,55,59,79,59,54,75,79,72,38,46,40,0.4,0,0,0,0,0,0,0,0,0,0,0,1
60,61,47,44,49,63,41.98948637,44,47.8075009,53,42,51,62,70,62.59533923,62,59.45941377,48,70.01830606,76,67,31,67,58,54,45.49459276,54,62,61,61.23848249,0.25,0,0,0,1,0,0,0,0,0,0,0,0
62,73,49,64,63,54,58,56,46,44,27,63,69,54,66,58,62,63,74,58,61,59,52,56,66,66,58,30,34,36,0,0,0,0,1,0,0,0,0,0,0,0,0
67,67,73,53,64,63,42,61,58,62,67,62,70,70,66,65,63,65,68,73,68,55,72,57,57,55,56,63,68,67,0.5,0,0,0,0,0,0,0,0,1,0,0,0
63,64,46,33,61,64,42,42,34,48,57,55,55,59,57,61,63,56,61,69,68,48,63,68,46,63,54,63,64,63,0.346153846,0,0,0,0,0,0,0,1,0,0,0,0
67,68,66,58,60,69,59,66,63,68,64,68,68,66,79,65,69,67,66,70,68,68,57,53,65,66,55,42,50,51,0.5,0,1,0,0,0,0,0,0,0,0,0,0
67,69,59,34,62,63,51,64,46,54,63,60,54,52,54,68,72,56,64,68,73,57,75,74,55,69,46,65,68,69,0.393939394,0,0,0,0,0,0,0,0,0,0,1,0
70,73,71,58,42,67,67,73,65,62,64,71,77,75,73,58,64,67,51,71,52,60,57,60,67,71,70,44,48,61,0.333333333,0,0,0,0,0,0,1,0,0,0,0,0
79,82,72,79,70,76,69,73,66,76,68,79,81,83,74,76,72,85,77,81,73,78,79,45,82,75,80,38,21,21,0.388888889,0,0,0,0,0,0,0,0,1,0,0,0
80,82,77,76,48,81,76,84,74,74,76,86,79,78,84,74,82,78,55,60,66,78,50,40,78,82,71,23,29,27,0.411764706,0,0,0,0,1,0,0,0,0,0,0,0
