match_api_id,team_api_id,team_type,spread,status,fire,water,earth,air,Aries,Leo,Sagittarius,Cancer,Scopio,Pisces,Taurus,Virgo,Capricorn,Gemini,Libra,Aquarius,TeamGoal
836306,8640,home,10,win,3,1,2,5,1,1,1,1,0,0,0,1,1,3,1,1,10
2030233,8633,home,8,win,3,4,3,1,1,0,2,3,0,1,1,1,1,0,0,1,10
658797,8586,home,8,win,4,1,1,5,2,2,0,0,1,0,0,0,1,0,1,4,9
840289,9925,home,9,win,3,3,1,4,1,2,0,1,0,2,1,0,0,0,0,4,9
1239709,9823,home,7,win,3,1,3,4,1,2,0,0,1,0,0,2,1,0,3,1,9
1778322,8633,home,8,win,2,2,6,1,1,0,1,2,0,0,3,1,2,0,0,1,9
1990022,9847,away,9,win,2,1,3,5,1,1,0,1,0,0,1,2,0,1,1,3,9
659371,8455,home,8,win,3,3,1,4,0,1,2,0,0,3,1,0,0,3,1,0,8
857405,9823,away,7,win,4,2,2,3,2,2,0,1,1,0,1,1,0,1,0,2,8
875447,8633,home,7,win,4,2,3,2,2,0,2,0,0,2,1,1,1,0,1,1,8
875691,8634,away,8,win,3,2,4,2,1,1,1,0,1,1,2,1,1,1,0,1,8
1024348,10260,home,6,win,4,5,2,0,1,1,2,1,3,1,1,0,1,0,0,0,8
1051686,8634,home,8,win,3,3,3,2,2,0,1,2,0,1,2,0,1,1,0,1,8
1229284,8455,home,8,win,3,2,5,1,0,0,3,0,0,2,3,1,1,1,0,0,8
1724059,8466,home,8,win,2,6,2,1,1,1,0,1,2,3,0,0,2,0,0,1,8
1732901,9823,home,8,win,4,3,2,2,2,2,0,0,0,3,0,2,0,1,0,1,8
1778069,8633,away,6,win,2,2,6,1,1,0,1,2,0,0,3,1,2,0,0,1,8
1778378,8634,away,8,win,2,3,2,4,2,0,0,1,0,2,2,0,0,1,0,3,8
1990939,9925,home,7,win,5,1,3,2,1,2,2,0,1,0,1,1,1,1,1,0,8
2030491,8634,away,8,win,2,3,3,3,2,0,0,1,0,2,2,0,1,1,0,2,8
490077,8548,home,6,win,1,1,3,6,0,1,0,0,0,1,1,0,2,2,1,3,7
658952,8455,home,5,win,2,3,2,4,0,0,2,0,1,2,2,0,0,3,1,0,7
659136,8455,home,6,win,2,2,4,3,0,1,1,0,1,1,2,1,1,3,0,0,7
659174,8455,home,7,win,2,3,2,4,0,1,1,0,0,3,1,0,1,3,1,0,7
662523,8593,home,7,win,1,1,3,6,1,0,0,0,0,1,1,2,0,2,0,4,7
663737,10192,away,6,win,3,4,2,2,1,2,0,2,0,2,1,0,1,0,0,2,7
674545,9823,home,7,win,3,1,4,3,1,1,1,0,1,0,2,2,0,1,0,2,7
836578,8674,home,6,win,3,3,2,3,1,2,0,0,1,2,0,0,2,1,2,0,7
839954,10260,home,6,win,2,6,1,2,1,1,0,1,4,1,1,0,0,0,1,1,7
856905,10269,home,7,win,4,3,3,1,2,2,0,0,1,2,1,2,0,0,1,0,7
875752,8633,home,7,win,3,1,4,3,1,0,2,0,0,1,3,1,0,0,1,2,7
888428,8600,away,7,win,3,5,0,3,1,0,2,1,1,3,0,0,0,1,2,0,7
1025469,9825,home,6,win,4,2,3,2,2,2,0,0,1,1,1,2,0,0,2,0,7
1028539,8640,home,6,win,3,2,2,4,0,1,2,1,1,0,1,0,1,2,1,1,7
1028615,9791,home,7,win,2,3,2,4,0,1,1,0,2,1,0,1,1,2,0,2,7
1028635,9803,home,7,win,2,5,3,1,1,0,1,1,2,2,2,0,1,1,0,0,7
1029835,9823,home,7,win,4,3,4,0,2,2,0,1,1,1,0,3,1,0,0,0,7
1030302,9823,home,6,win,3,4,3,1,2,1,0,1,1,2,0,2,1,0,0,1,7
1051767,8633,home,6,win,4,2,2,3,2,0,2,0,0,2,1,0,1,0,1,2,7
1051991,8634,away,7,win,5,4,1,1,3,1,1,1,2,1,0,0,1,1,0,0,7
1223090,8640,home,7,win,2,1,3,5,1,0,1,0,1,0,2,0,1,2,0,3,7
1224130,8342,away,6,win,3,2,2,4,3,0,0,0,1,1,0,2,0,1,2,1,7
1229306,9825,home,4,win,4,2,2,3,2,1,1,0,1,1,0,1,1,1,1,1,7
1474337,8456,home,7,win,4,1,4,2,1,2,1,0,0,1,2,0,2,1,0,1,7
1479120,9823,away,7,win,3,1,4,3,3,0,0,0,0,1,0,3,1,2,0,1,7
1505563,8634,home,7,win,2,3,3,3,0,1,1,1,1,1,2,0,1,1,0,2,7
1505918,8633,home,4,win,3,3,4,1,2,0,1,1,1,1,3,0,1,0,0,1,7
1505943,9906,home,7,win,2,3,5,1,0,1,1,2,0,1,2,1,2,0,0,1,7
1506088,8634,home,7,win,3,2,4,2,1,1,1,1,0,1,2,0,2,1,0,1,7
1536559,8636,away,7,win,2,5,1,3,1,1,0,1,0,4,0,1,0,1,0,2,7
1709801,9831,away,5,win,2,7,1,1,0,0,2,1,1,5,0,1,0,0,1,0,7
1717987,8571,away,6,win,3,4,2,2,2,1,0,0,2,2,1,1,0,1,0,1,7
1778410,8633,home,4,win,0,4,5,2,0,0,0,1,0,3,2,0,3,1,0,1,7
1785985,8636,home,7,win,1,2,3,5,0,1,0,1,0,1,1,1,1,3,0,2,7
1786078,9885,home,7,win,1,3,4,3,0,1,0,0,0,3,1,0,3,1,0,2,7
1980065,8342,home,6,win,1,2,4,4,1,0,0,1,1,0,1,2,1,2,0,2,7
1992185,10192,home,7,win,3,3,2,3,0,2,1,0,1,2,0,1,1,2,0,1,7
1992188,9931,away,7,win,6,1,0,4,5,0,1,0,1,0,0,0,0,1,0,3,7
2030431,8633,home,6,win,3,4,3,1,2,0,1,2,0,2,2,0,1,0,0,1,7
2216671,9925,home,7,win,3,0,2,6,1,0,2,0,0,0,0,0,2,2,2,2,7
489086,8456,home,6,win,3,4,2,2,2,1,0,0,1,3,0,1,1,1,0,1,6
499607,9789,home,6,win,5,4,1,1,1,1,3,1,1,2,0,1,0,0,0,1,6
523928,8640,home,4,win,7,2,1,1,4,2,1,1,0,1,0,0,1,0,1,0,6
530103,8634,away,5,win,1,4,4,2,1,0,0,2,0,2,2,0,2,0,0,2,6
530133,8634,home,5,win,1,4,3,3,1,0,0,2,0,2,1,1,1,0,0,3,6
530240,8634,home,6,win,2,2,4,3,1,1,0,0,0,2,2,1,1,0,0,3,6
530499,8633,home,5,win,5,3,3,0,3,1,1,0,0,3,2,1,0,0,0,0,6
530640,8634,away,4,win,2,3,4,2,1,1,0,1,0,2,3,0,1,0,0,2,6
539931,8600,home,4,win,2,2,2,5,0,1,1,1,0,1,0,1,1,3,1,1,6
658576,9825,away,5,win,3,1,4,3,0,3,0,0,1,0,2,1,1,1,0,2,6
658633,8650,home,5,win,2,2,5,2,1,0,1,1,0,1,1,2,2,1,0,1,6
658688,9825,home,4,win,3,2,3,3,0,3,0,0,1,1,2,1,0,1,1,1,6
658893,8548,home,5,win,3,0,3,5,1,2,0,0,0,0,1,0,2,1,2,2,6
662266,10229,away,6,win,3,4,3,1,1,2,0,3,0,1,0,1,2,0,1,0,6
662296,8593,home,6,win,2,2,3,4,1,1,0,0,1,1,2,1,0,2,0,2,6
662483,10229,home,4,win,2,6,1,2,0,1,1,3,0,3,0,0,1,0,2,0,6
662544,10235,home,4,win,1,5,3,2,0,0,1,0,1,4,1,2,0,0,0,2,6
674380,8697,away,6,win,2,3,2,4,0,0,2,0,0,3,0,2,0,1,2,1,6
674571,9904,home,5,win,3,3,1,4,1,1,1,1,1,1,0,0,1,1,1,2,6
684945,8633,home,4,win,3,2,5,1,1,0,2,1,0,1,3,1,1,0,0,1,6
686212,9772,home,5,win,2,3,2,4,1,0,1,0,2,1,2,0,0,1,0,3,6
768216,9930,home,3,win,0,2,6,3,0,0,0,1,0,1,1,5,0,1,1,1,6
830093,8639,home,3,win,1,2,5,3,0,1,0,0,0,2,1,0,4,2,0,1,6
836100,8640,home,6,win,4,1,2,4,0,2,2,1,0,0,0,1,1,1,2,1,6
836488,10228,home,4,win,1,5,3,2,0,1,0,2,2,1,0,1,2,2,0,0,6
836542,10229,home,5,win,2,6,2,1,1,1,0,1,2,3,0,0,2,0,1,0,6
836615,9791,home,5,win,3,3,1,4,1,0,2,0,1,2,0,1,0,3,1,0,6
836662,9791,away,4,win,2,4,1,4,1,0,1,0,2,2,0,1,0,2,1,1,6
836675,10235,home,5,win,1,5,1,4,0,0,1,0,2,3,0,0,1,0,1,3,6
838596,6351,home,6,win,2,2,4,3,2,0,0,2,0,0,2,0,2,2,0,1,6
839800,8455,home,6,win,3,2,3,3,0,0,3,0,0,2,2,0,1,3,0,0,6
839824,9825,home,6,win,1,2,5,3,0,1,0,0,1,1,2,1,2,1,1,1,6
839827,10261,home,6,win,0,5,3,3,0,0,0,1,2,2,0,1,2,0,1,2,6
839833,8455,away,6,win,3,3,2,3,0,0,3,0,0,3,2,0,0,3,0,0,6
840379,8548,home,6,win,1,0,5,5,0,0,1,0,0,0,1,2,2,2,1,2,6
845060,10199,home,4,win,2,4,3,2,1,1,0,0,1,3,0,1,2,1,0,1,6
